Date,open,high,low,close,volume
2020-04-17,2842.4299,2862.1599,2830.8799,2844.7000,2411851790
2020-04-16,2799.3401,2806.5100,2764.3201,2799.5500,5179990000
2020-04-15,2795.6399,2801.8799,2761.5400,2783.3601,5203390000
2020-04-14,2805.1001,2851.8501,2805.1001,2846.0601,5567400000
2020-04-13,2782.4600,2782.4600,2721.1699,2761.6299,5274310000
2020-04-09,2776.9900,2818.5701,2762.3601,2789.8201,7880140000
2020-04-08,2685.0000,2760.7500,2663.3000,2749.9800,5856370000
2020-04-07,2738.6499,2756.8899,2657.6699,2659.4099,7040720000
2020-04-06,2578.2800,2676.8501,2574.5701,2663.6799,6391860000
2020-04-03,2514.9199,2538.1799,2459.9600,2488.6499,6087190000
2020-04-02,2458.5400,2533.2200,2455.7900,2526.8999,6454990000
2020-04-01,2498.0801,2522.7500,2447.4900,2470.5000,5947900000
2020-03-31,2614.6899,2641.3899,2571.1499,2584.5901,6568290000
2020-03-30,2558.9800,2631.8000,2545.2800,2626.6499,5746220000
2020-03-27,2555.8701,2615.9099,2520.0200,2541.4700,6194330000
2020-03-26,2501.2900,2637.0100,2500.7200,2630.0701,7753160000
2020-03-25,2457.7700,2571.4199,2407.5300,2475.5601,8285670000
2020-03-24,2344.4399,2449.7100,2344.4399,2447.3301,7547350000
2020-03-23,2290.7100,2300.7300,2191.8601,2237.3999,7402180000
2020-03-20,2431.9399,2453.0100,2295.5601,2304.9199,9044690000
2020-03-19,2393.4800,2466.9700,2319.7800,2409.3899,7946710000
2020-03-18,2436.5000,2453.5701,2280.5200,2398.1001,8755780000
2020-03-17,2425.6599,2553.9299,2367.0400,2529.1899,8358500000
2020-03-16,2508.5901,2562.9800,2380.9399,2386.1299,7781540000
2020-03-13,2569.9900,2711.3301,2492.3701,2711.0200,8258670000
2020-03-12,2630.8601,2660.9500,2478.8601,2480.6399,8829380000
2020-03-11,2825.6001,2825.6001,2707.2200,2741.3799,7374110000
2020-03-10,2813.4800,2882.5901,2734.0000,2882.2300,7635960000
2020-03-09,2863.8899,2863.8899,2734.4299,2746.5601,8423050000
2020-03-06,2954.2000,2985.9299,2901.5400,2972.3701,6552140000
2020-03-05,3075.7000,3083.0400,2999.8301,3023.9399,5575550000
2020-03-04,3045.7500,3130.9700,3034.3799,3130.1201,5035480000
2020-03-03,3096.4600,3136.7200,2976.6299,3003.3701,6355940000
2020-03-02,2974.2800,3090.9600,2945.1899,3090.2300,6376400000
2020-02-28,2916.8999,2959.7200,2855.8401,2954.2200,8563850000
2020-02-27,3062.5400,3097.0701,2977.3899,2978.7600,7058840000
2020-02-26,3139.8999,3182.5100,3108.9900,3116.3899,5478110000
2020-02-25,3238.9399,3246.9900,3118.7700,3128.2100,5591510000
2020-02-24,3257.6101,3259.8101,3214.6499,3225.8899,4842960000
2020-02-21,3360.5000,3360.7600,3328.4500,3337.7500,3899270000
2020-02-20,3380.4500,3389.1499,3341.0200,3373.2300,4007320000
2020-02-19,3380.3899,3393.5200,3378.8301,3386.1499,3600150000
2020-02-18,3369.0400,3375.0100,3355.6101,3370.2900,3746720000
2020-02-14,3378.0801,3380.6899,3366.1499,3380.1599,3398040000
2020-02-13,3365.8999,3385.0901,3360.5200,3373.9399,3498240000
2020-02-12,3370.5000,3381.4700,3369.7200,3379.4500,3926380000
2020-02-11,3365.8701,3375.6299,3352.7200,3357.7500,3760550000
2020-02-10,3318.2800,3352.2600,3317.7700,3352.0901,3450350000
2020-02-07,3335.5400,3341.4199,3322.1201,3327.7100,3730650000
2020-02-06,3344.9199,3347.9600,3334.3899,3345.7800,3868370000
2020-02-05,3324.9099,3337.5801,3313.7500,3334.6899,4117730000
2020-02-04,3280.6101,3306.9199,3280.6101,3297.5901,3995320000
2020-02-03,3235.6599,3268.4399,3235.6599,3248.9199,3757910000
2020-01-31,3282.3301,3282.3301,3214.6799,3225.5200,4527830000
2020-01-30,3256.4500,3285.9099,3242.8000,3283.6599,3787250000
2020-01-29,3289.4600,3293.4700,3271.8899,3273.3999,3584500000
2020-01-28,3255.3501,3285.7800,3253.2200,3276.2400,3526720000
2020-01-27,3247.1599,3258.8501,3234.5000,3243.6299,3823100000
2020-01-24,3333.1001,3333.1799,3281.5300,3295.4700,3707130000
2020-01-23,3315.7700,3326.8799,3301.8701,3325.5400,3764860000
2020-01-22,3330.0200,3337.7700,3320.0400,3321.7500,3619850000
2020-01-21,3321.0300,3329.7900,3316.6101,3320.7900,4105340000
2020-01-17,3323.6599,3329.8799,3318.8601,3329.6201,3698170000
2020-01-16,3302.9700,3317.1101,3302.8201,3316.8101,3535080000
2020-01-15,3282.2700,3298.6599,3280.6899,3289.2900,3716840000
2020-01-14,3285.3501,3294.2500,3277.1899,3283.1499,3665130000
2020-01-13,3271.1299,3288.1299,3268.4299,3288.1299,3456380000
2020-01-10,3281.8101,3282.9900,3260.8601,3265.3501,3212970000
2020-01-09,3266.0300,3275.5801,3263.6699,3274.7000,3638390000
2020-01-08,3238.5901,3267.0701,3236.6699,3253.0500,3720890000
2020-01-07,3241.8601,3244.9099,3232.4299,3237.1799,3420380000
2020-01-06,3217.5500,3246.8401,3214.6399,3246.2800,3674070000
2020-01-03,3226.3601,3246.1499,3222.3401,3234.8501,3461290000
2020-01-02,3244.6699,3258.1399,3235.5300,3257.8501,3458250000
2019-12-31,3215.1799,3231.7200,3212.0300,3230.7800,2893810000
2019-12-30,3240.0901,3240.9199,3216.5701,3221.2900,3013290000
2019-12-27,3247.2300,3247.9299,3234.3701,3240.0200,2428670000
2019-12-26,3227.2000,3240.0801,3227.2000,3239.9099,2160680000
2019-12-24,3225.4500,3226.4299,3220.5100,3223.3799,1296540000
2019-12-23,3226.0500,3227.7800,3222.3000,3224.0100,3060610000
2019-12-20,3223.3301,3225.6499,3216.0300,3221.2200,6454270000
2019-12-19,3192.3201,3205.4800,3192.3201,3205.3701,3720450000
2019-12-18,3195.2100,3198.4800,3191.1399,3191.1399,4014080000
2019-12-17,3195.3999,3198.2200,3191.0300,3192.5200,3837540000
2019-12-16,3183.6299,3197.7100,3183.6299,3191.4500,4051790000
2019-12-13,3166.6499,3182.6799,3156.5100,3168.8000,3736870000
2019-12-12,3141.2300,3176.2800,3138.4700,3168.5701,3990690000
2019-12-11,3135.7500,3143.9800,3133.2100,3141.6299,3252540000
2019-12-10,3135.3601,3142.1201,3126.0901,3132.5200,3343790000
2019-12-09,3141.8601,3148.8701,3135.4600,3135.9600,3345990000
