Week End Date,open,high,low,close,volume
2020-04-17,23698.9297,24150.1992,10000.0000,23960.8008,2146799364
2020-04-09,21693.6309,24008.9902,21693.6309,23719.3691,2244560000
2020-04-03,21678.2207,22480.3691,20735.0195,21052.5293,2602980000
2020-03-27,19028.3594,22595.0605,18213.6504,21636.7793,3677640000
2020-03-20,20917.5293,21768.2793,18917.4609,19173.9805,4087140000
2020-03-13,24992.3594,25020.9902,21154.4609,23185.6191,3820590000
2020-03-06,25590.5098,27102.3398,25226.6191,25864.7793,2819020000
2020-02-28,28402.9297,28402.9297,24681.0098,25409.3594,3019270000
2020-02-21,29282.7793,29409.0898,28892.6992,28992.4102,1096230000
2020-02-14,28995.6602,29568.5703,28995.6602,29398.0801,1361730000
2020-02-07,28319.6504,29408.0508,28319.6504,29102.5098,1514760000
2020-01-31,28542.4902,28944.2402,28169.5293,28256.0293,1700440000
2020-01-24,29269.0508,29341.2109,28843.3105,28989.7305,1291150000
2020-01-17,28869.0098,29373.6191,28819.4297,29348.0996,1371470000
2020-01-10,28465.5000,29009.0703,28418.6309,28823.7695,1316300000
2020-01-03,28654.7598,28872.8008,28376.4902,28634.8809,866350000
2019-12-27,28491.7793,28701.6602,28491.7793,28645.2598,647930000
2019-12-20,28191.6699,28608.6406,28191.6699,28455.0898,1729780000
